Time (s),Device ID,Source Cell ID,Destination Cell ID
124s,40,3,3
124s,85,14,14
125s,54,7,7
125s,57,3,3
125s,78,19,19
126s,58,13,13
126s,60,3,3
126s,78,8,8
127s,63,9,9
127s,69,13,13
128s,61,9,9
128s,73,10,10
129s,35,4,4
129s,60,12,12
129s,91,1,1
130s,63,10,10
130s,73,14,14
131s,8,6,6
131s,57,1,1
132s,88,15,15
133s,88,9,9
134s,11,3,3
134s,57,3,3
135s,57,1,1
135s,67,14,14
135s,68,17,17
135s,69,5,5
137s,19,19,19
137s,23,10,10
137s,84,3,3
137s,91,7,7
138s,59,1,1
139s,60,3,3
139s,64,7,7
139s,78,19,19
140s,57,3,3
141s,19,18,18
141s,20,10,10
141s,67,15,15
142s,8,2,2
142s,30,16,16
142s,57,1,1
142s,59,3,3
143s,15,18,18
143s,48,4,4
143s,82,19,19
143s,90,15,15
144s,2,14,14
144s,82,14,14
144s,90,5,5
145s,30,15,15
146s,7,11,11
146s,81,1,1
146s,90,15,15
147s,8,6,6
147s,50,1,1
147s,57,3,3
147s,78,8,8
147s,81,4,4
147s,90,5,5
148s,15,14,14
149s,15,18,18
149s,59,1,1
150s,11,5,5
150s,37,5,5
151s,63,9,9
152s,20,18,18
152s,47,17,17
152s,67,14,14
152s,82,19,19
153s,48,8,8
153s,63,10,10
154s,16,8,8
154s,54,1,1
154s,68,11,11
154s,91,1,1
155s,2,18,18
155s,54,7,7
155s,78,19,19
156s,7,17,17
156s,57,5,5
157s,35,1,1
157s,59,3,3
157s,63,7,7
158s,21,6,6
158s,48,4,4
159s,7,11,11
159s,82,14,14
160s,57,1,1
160s,78,8,8
162s,42,13,13
162s,58,5,5
162s,59,1,1
162s,78,19,19
162s,91,7,7
163s,91,1,1
164s,47,2,2
165s,58,13,13
165s,78,8,8
165s,85,15,15
166s,44,5,5
166s,91,4,4
167s,7,17,17
168s,7,11,11
168s,91,7,7
169s,7,17,17
169s,54,1,1
170s,36,3,3
170s,37,3,3
170s,68,17,17
170s,85,14,14
171s,36,11,11
171s,77,8,8
171s,85,15,15
172s,77,9,9
173s,59,3,3
174s,78,19,19
175s,2,14,14
175s,47,17,17
175s,54,7,7
175s,58,5,5
175s,69,13,13
175s,78,8,8
177s,36,3,3
177s,97,10,10
180s,4,2,2
180s,69,5,5
180s,78,19,19
182s,21,1,1
182s,59,1,1
184s,69,13,13
185s,91,4,4
186s,63,9,9
186s,85,14,14
187s,1,12,12
187s,58,14,14
187s,97,15,15
188s,37,5,5
189s,8,1,1
191s,4,18,18
191s,45,9,9
191s,58,13,13
192s,1,11,11
192s,85,15,15
193s,1,12,12
193s,4,2,2
193s,37,3,3
194s,85,5,5
198s,8,6,6
198s,48,8,8
198s,64,9,9
198s,69,5,5
199s,64,7,7
200s,50,4,4
200s,97,14,14
201s,64,9,9
201s,78,4,4
202s,78,19,19
202s,82,19,19
202s,89,1,1
203s,89,3,3
203s,97,15,15
204s,99,10,10
205s,1,11,11
205s,46,13,13
205s,69,13,13
205s,72,7,7
205s,93,10,10
207s,0,12,12
207s,72,3,3
207s,82,14,14
207s,83,13,13
209s,8,1,1
209s,90,15,15
211s,1,12,12
211s,97,14,14
212s,34,9,9
213s,63,7,7
213s,97,15,15
215s,89,1,1
216s,89,3,3
217s,59,3,3
218s,54,1,1
218s,89,5,5
219s,21,6,6
221s,71,7,7
222s,21,1,1
222s,33,8,8
223s,59,1,1
224s,44,14,14
224s,64,7,7
225s,49,12,12
226s,16,19,19
226s,91,7,7
227s,16,8,8
227s,34,16,16
228s,34,9,9
228s,69,5,5
229s,49,17,17
231s,46,12,12
231s,85,14,14
232s,49,12,12
232s,54,7,7
232s,93,11,11
233s,20,10,10
234s,18,19,19
234s,20,18,18
234s,34,16,16
234s,90,6,6
235s,36,11,11
235s,46,13,13
235s,50,1,1
236s,36,3,3
236s,46,12,12
236s,49,17,17
237s,18,14,14
237s,34,15,15
237s,52,9,9
237s,53,15,15
238s,8,2,2
238s,27,12,12
238s,54,1,1
238s,64,9,9
238s,76,17,17
238s,84,7,7
239s,26,12,12
239s,52,10,10
239s,71,10,10
239s,76,12,12
239s,77,8,8
239s,79,17,17
240s,36,11,11
241s,13,12,12
241s,21,6,6
241s,26,16,16
241s,84,11,11
242s,0,13,13
242s,13,3,3
242s,46,13,13
242s,79,2,2
242s,91,4,4
244s,7,12,12
244s,21,1,1
244s,26,12,12
245s,14,17,17
245s,49,16,16
245s,68,11,11
245s,76,17,17
246s,14,11,11
247s,39,6,6
247s,50,7,7
248s,16,19,19
248s,27,11,11
248s,54,7,7
248s,68,17,17
248s,76,12,12
249s,8,1,1
249s,13,12,12
249s,39,15,15
249s,79,17,17
250s,59,3,3
250s,80,2,2
250s,84,7,7
251s,17,18,18
251s,59,1,1
251s,84,11,11
252s,8,2,2
252s,91,7,7
253s,8,1,1
253s,26,16,16
253s,79,2,2
254s,23,11,11
254s,46,12,12
254s,80,1,1
254s,84,7,7
255s,21,6,6
255s,22,8,8
256s,8,2,2
256s,16,8,8
256s,17,2,2
256s,60,12,12
257s,69,13,13
258s,0,12,12
258s,5,14,14
258s,35,4,4
258s,80,2,2
259s,39,6,6
259s,60,3,3
259s,82,19,19
260s,84,11,11
